step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
13950,892786050,17.722416639328003,mem64_147M_1024_b64k_s30k,1.0,0.912109375,
14000,895986000,14.52171540260315,mem64_147M_1024_b64k_s30k,1.0,,0.912109375
14000,895986000,32.43677377700806,mem64_147M_1024_b64k_s30k,1.0,0.91234375,
14050,899185950,17.712565422058105,mem64_147M_1024_b64k_s30k,1.0,0.911640625,
14100,902385900,17.69649577140808,mem64_147M_1024_b64k_s30k,1.0,0.92015625,
14150,905585850,17.699236392974854,mem64_147M_1024_b64k_s30k,1.0,0.909375,
14200,908785800,17.716434955596924,mem64_147M_1024_b64k_s30k,1.0,0.92328125,
14250,911985750,17.684979915618896,mem64_147M_1024_b64k_s30k,1.0,0.90375,
14300,915185700,17.71438455581665,mem64_147M_1024_b64k_s30k,1.0,0.901328125,
14350,918385650,17.695523500442505,mem64_147M_1024_b64k_s30k,1.0,0.9165625,
