step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
5900,377594100,20.854519605636597,mem32_147M_2048_b64k_s30k,1.0,0.964453125,
5950,380794050,20.921688556671143,mem32_147M_2048_b64k_s30k,1.0,0.96578125,
6000,383994000,16.27376890182495,mem32_147M_2048_b64k_s30k,1.0,,0.96203125
6000,383994000,37.43441462516785,mem32_147M_2048_b64k_s30k,1.0,0.984296875,
6050,387193950,20.94288992881775,mem32_147M_2048_b64k_s30k,1.0,0.969140625,
6100,390393900,20.7976176738739,mem32_147M_2048_b64k_s30k,1.0,0.973359375,
6150,393593850,20.96726131439209,mem32_147M_2048_b64k_s30k,1.0,0.97015625,
6200,396793800,20.90959095954895,mem32_147M_2048_b64k_s30k,1.0,0.96875,
6250,399993750,20.95064902305603,mem32_147M_2048_b64k_s30k,1.0,0.96078125,
6300,403193700,20.959830045700073,mem32_147M_2048_b64k_s30k,1.0,0.975390625,
6350,406393650,21.003846406936646,mem32_147M_2048_b64k_s30k,1.0,0.959296875,
6400,409593600,20.91628623008728,mem32_147M_2048_b64k_s30k,1.0,0.959765625,
6450,412793550,20.90583086013794,mem32_147M_2048_b64k_s30k,1.0,0.965078125,
6500,415993500,16.295750379562378,mem32_147M_2048_b64k_s30k,1.0,,0.95
6500,415993500,37.415610790252686,mem32_147M_2048_b64k_s30k,1.0,0.961015625,
6550,419193450,21.01254105567932,mem32_147M_2048_b64k_s30k,1.0,0.966015625,
6600,422393400,20.981943130493164,mem32_147M_2048_b64k_s30k,1.0,0.9621875,
6650,425593350,20.999531984329224,mem32_147M_2048_b64k_s30k,1.0,0.96609375,
6700,428793300,20.93902015686035,mem32_147M_2048_b64k_s30k,1.0,0.95796875,
6750,431993250,21.00387692451477,mem32_147M_2048_b64k_s30k,1.0,0.961171875,
6800,435193200,20.85712742805481,mem32_147M_2048_b64k_s30k,1.0,0.9578125,
6850,438393150,20.863343000411987,mem32_147M_2048_b64k_s30k,1.0,0.966875,
6900,441593100,20.97650146484375,mem32_147M_2048_b64k_s30k,1.0,0.952421875,
6950,444793050,20.963054656982422,mem32_147M_2048_b64k_s30k,1.0,0.96453125,
7000,447993000,16.230818510055542,mem32_147M_2048_b64k_s30k,1.0,,0.9475
7000,447993000,37.24507761001587,mem32_147M_2048_b64k_s30k,1.0,0.975234375,
7050,451192950,20.96480369567871,mem32_147M_2048_b64k_s30k,1.0,0.961328125,
7100,454392900,20.875287532806396,mem32_147M_2048_b64k_s30k,1.0,0.95109375,
7150,457592850,20.854395151138306,mem32_147M_2048_b64k_s30k,1.0,0.9409375,
7200,460792800,21.033549547195435,mem32_147M_2048_b64k_s30k,1.0,0.96171875,
7250,463992750,20.986960649490356,mem32_147M_2048_b64k_s30k,1.0,0.955,
7300,467192700,20.822750568389893,mem32_147M_2048_b64k_s30k,1.0,0.94625,
7350,470392650,20.872636318206787,mem32_147M_2048_b64k_s30k,1.0,0.9540625,
7400,473592600,20.96983051300049,mem32_147M_2048_b64k_s30k,1.0,0.951484375,
7450,476792550,20.851980447769165,mem32_147M_2048_b64k_s30k,1.0,0.935625,
7500,479992500,16.31666851043701,mem32_147M_2048_b64k_s30k,1.0,,0.9364453125
7500,479992500,37.43445158004761,mem32_147M_2048_b64k_s30k,1.0,0.9453125,
7550,483192450,20.885887384414673,mem32_147M_2048_b64k_s30k,1.0,0.940390625,
7600,486392400,20.88834810256958,mem32_147M_2048_b64k_s30k,1.0,0.96171875,
7650,489592350,20.860745191574097,mem32_147M_2048_b64k_s30k,1.0,0.939140625,
7700,492792300,20.938065767288208,mem32_147M_2048_b64k_s30k,1.0,0.944609375,
7750,495992250,20.962319135665894,mem32_147M_2048_b64k_s30k,1.0,0.95828125,
7800,499192200,20.90097212791443,mem32_147M_2048_b64k_s30k,1.0,0.930078125,
7850,502392150,20.921204566955566,mem32_147M_2048_b64k_s30k,1.0,0.943203125,
7900,505592100,20.93629741668701,mem32_147M_2048_b64k_s30k,1.0,0.941015625,
7950,508792050,20.901041507720947,mem32_147M_2048_b64k_s30k,1.0,0.9440625,
8000,511992000,16.27832007408142,mem32_147M_2048_b64k_s30k,1.0,,0.9355078125
8000,511992000,37.412991762161255,mem32_147M_2048_b64k_s30k,1.0,0.943046875,
8050,515191950,20.956130266189575,mem32_147M_2048_b64k_s30k,1.0,0.95703125,
8100,518391900,20.87543225288391,mem32_147M_2048_b64k_s30k,1.0,0.945390625,
8150,521591850,20.883513927459717,mem32_147M_2048_b64k_s30k,1.0,0.939921875,
8200,524791800,20.83898663520813,mem32_147M_2048_b64k_s30k,1.0,0.944140625,
8250,527991750,21.01804232597351,mem32_147M_2048_b64k_s30k,1.0,0.943515625,
8300,531191700,20.845229625701904,mem32_147M_2048_b64k_s30k,1.0,0.94953125,
8350,534391650,20.893728494644165,mem32_147M_2048_b64k_s30k,1.0,0.931171875,
8400,537591600,21.01242685317993,mem32_147M_2048_b64k_s30k,1.0,0.948828125,
8450,540791550,20.90602970123291,mem32_147M_2048_b64k_s30k,1.0,0.9365625,
8500,543991500,16.28845500946045,mem32_147M_2048_b64k_s30k,1.0,,0.9257421875
8500,543991500,37.368955850601196,mem32_147M_2048_b64k_s30k,1.0,0.926484375,
8550,547191450,20.998581409454346,mem32_147M_2048_b64k_s30k,1.0,0.960234375,
8600,550391400,20.846018314361572,mem32_147M_2048_b64k_s30k,1.0,0.93765625,
8650,553591350,20.98146367073059,mem32_147M_2048_b64k_s30k,1.0,0.944296875,
8700,556791300,20.93529438972473,mem32_147M_2048_b64k_s30k,1.0,0.94203125,
8750,559991250,20.898298740386963,mem32_147M_2048_b64k_s30k,1.0,0.92765625,
8800,563191200,20.945669174194336,mem32_147M_2048_b64k_s30k,1.0,0.92671875,
8850,566391150,20.77569580078125,mem32_147M_2048_b64k_s30k,1.0,0.92765625,
8900,569591100,20.812450408935547,mem32_147M_2048_b64k_s30k,1.0,0.944453125,
8950,572791050,20.80515766143799,mem32_147M_2048_b64k_s30k,1.0,0.92984375,
9000,575991000,16.23678994178772,mem32_147M_2048_b64k_s30k,1.0,,0.925703125
9000,575991000,37.27804446220398,mem32_147M_2048_b64k_s30k,1.0,0.94140625,
9050,579190950,20.821402549743652,mem32_147M_2048_b64k_s30k,1.0,0.935,
9100,582390900,20.93754816055298,mem32_147M_2048_b64k_s30k,1.0,0.930703125,
9150,585590850,20.8927161693573,mem32_147M_2048_b64k_s30k,1.0,0.929453125,
9200,588790800,20.971168756484985,mem32_147M_2048_b64k_s30k,1.0,0.9315625,
9250,591990750,20.90723705291748,mem32_147M_2048_b64k_s30k,1.0,0.94078125,
9300,595190700,20.896034479141235,mem32_147M_2048_b64k_s30k,1.0,0.924375,
9350,598390650,20.96066379547119,mem32_147M_2048_b64k_s30k,1.0,0.929375,
9400,601590600,20.872502326965332,mem32_147M_2048_b64k_s30k,1.0,0.92390625,
9450,604790550,20.936557292938232,mem32_147M_2048_b64k_s30k,1.0,0.938828125,
9500,607990500,17.335559606552124,mem32_147M_2048_b64k_s30k,1.0,,0.9191796875
9500,607990500,38.39596509933472,mem32_147M_2048_b64k_s30k,1.0,0.94984375,
9550,611190450,20.98553967475891,mem32_147M_2048_b64k_s30k,1.0,0.92796875,
9600,614390400,20.94106101989746,mem32_147M_2048_b64k_s30k,1.0,0.938671875,
9650,617590350,20.95365047454834,mem32_147M_2048_b64k_s30k,1.0,0.932265625,
9700,620790300,20.928348064422607,mem32_147M_2048_b64k_s30k,1.0,0.912890625,
9750,623990250,20.970710039138794,mem32_147M_2048_b64k_s30k,1.0,0.91703125,
9800,627190200,20.890256881713867,mem32_147M_2048_b64k_s30k,1.0,0.955234375,
9850,630390150,20.868600845336914,mem32_147M_2048_b64k_s30k,1.0,0.915625,
9900,633590100,20.95785641670227,mem32_147M_2048_b64k_s30k,1.0,0.93546875,
9950,636790050,20.918730974197388,mem32_147M_2048_b64k_s30k,1.0,0.928828125,
10000,639990000,16.257059335708618,mem32_147M_2048_b64k_s30k,1.0,,0.9185546875
10000,639990000,38.701836585998535,mem32_147M_2048_b64k_s30k,1.0,0.927734375,
10050,643189950,20.907511234283447,mem32_147M_2048_b64k_s30k,1.0,0.936875,
10100,646389900,20.936813831329346,mem32_147M_2048_b64k_s30k,1.0,0.93296875,
10150,649589850,21.00838828086853,mem32_147M_2048_b64k_s30k,1.0,0.925,
10200,652789800,20.93760585784912,mem32_147M_2048_b64k_s30k,1.0,0.92015625,
10250,655989750,20.938428163528442,mem32_147M_2048_b64k_s30k,1.0,0.9184375,
10300,659189700,21.002207279205322,mem32_147M_2048_b64k_s30k,1.0,0.949296875,
10350,662389650,20.857130765914917,mem32_147M_2048_b64k_s30k,1.0,0.919609375,
10400,665589600,20.971322059631348,mem32_147M_2048_b64k_s30k,1.0,0.923984375,
10450,668789550,20.900383234024048,mem32_147M_2048_b64k_s30k,1.0,0.92609375,
10500,671989500,16.343886613845825,mem32_147M_2048_b64k_s30k,1.0,,0.916875
10500,671989500,37.389689207077026,mem32_147M_2048_b64k_s30k,1.0,0.92515625,
10550,675189450,20.864949941635132,mem32_147M_2048_b64k_s30k,1.0,0.92328125,
10600,678389400,20.946573972702026,mem32_147M_2048_b64k_s30k,1.0,0.9265625,
10650,681589350,20.99170446395874,mem32_147M_2048_b64k_s30k,1.0,0.91703125,
10700,684789300,20.91207981109619,mem32_147M_2048_b64k_s30k,1.0,0.926484375,
10750,687989250,20.772701501846313,mem32_147M_2048_b64k_s30k,1.0,0.908203125,
10800,691189200,20.941879272460938,mem32_147M_2048_b64k_s30k,1.0,0.920234375,
10850,694389150,20.97320055961609,mem32_147M_2048_b64k_s30k,1.0,0.910703125,
10900,697589100,20.87718391418457,mem32_147M_2048_b64k_s30k,1.0,0.920625,
10950,700789050,20.97050166130066,mem32_147M_2048_b64k_s30k,1.0,0.917265625,
11000,703989000,16.287614107131958,mem32_147M_2048_b64k_s30k,1.0,,0.907578125
11000,703989000,37.443342208862305,mem32_147M_2048_b64k_s30k,1.0,0.91265625,
11050,707188950,20.95954942703247,mem32_147M_2048_b64k_s30k,1.0,0.9146875,
11100,710388900,20.990379333496094,mem32_147M_2048_b64k_s30k,1.0,0.9134375,
11150,713588850,20.912231922149658,mem32_147M_2048_b64k_s30k,1.0,0.908203125,
11200,716788800,20.908082723617554,mem32_147M_2048_b64k_s30k,1.0,0.917734375,
11250,719988750,20.95893692970276,mem32_147M_2048_b64k_s30k,1.0,0.93125,
11300,723188700,20.856873273849487,mem32_147M_2048_b64k_s30k,1.0,0.90828125,
11350,726388650,20.895592212677002,mem32_147M_2048_b64k_s30k,1.0,0.91375,
11400,729588600,21.00135636329651,mem32_147M_2048_b64k_s30k,1.0,0.909453125,
11450,732788550,20.873959064483643,mem32_147M_2048_b64k_s30k,1.0,0.920234375,
11500,735988500,16.285645484924316,mem32_147M_2048_b64k_s30k,1.0,,0.9043359375
11500,735988500,37.30798959732056,mem32_147M_2048_b64k_s30k,1.0,0.904453125,
11550,739188450,20.89711356163025,mem32_147M_2048_b64k_s30k,1.0,0.925703125,
11600,742388400,20.95372438430786,mem32_147M_2048_b64k_s30k,1.0,0.9084375,
11650,745588350,20.937352180480957,mem32_147M_2048_b64k_s30k,1.0,0.908828125,
11700,748788300,20.878533124923706,mem32_147M_2048_b64k_s30k,1.0,0.921796875,
11750,751988250,20.91761612892151,mem32_147M_2048_b64k_s30k,1.0,0.92328125,
11800,755188200,21.013849020004272,mem32_147M_2048_b64k_s30k,1.0,0.9034375,
11850,758388150,20.952127695083618,mem32_147M_2048_b64k_s30k,1.0,0.910703125,
11900,761588100,20.91728401184082,mem32_147M_2048_b64k_s30k,1.0,0.911875,
11950,764788050,20.88596749305725,mem32_147M_2048_b64k_s30k,1.0,0.910546875,
12000,767988000,16.292750120162964,mem32_147M_2048_b64k_s30k,1.0,,0.905625
12000,767988000,37.43194270133972,mem32_147M_2048_b64k_s30k,1.0,0.911796875,
12050,771187950,20.92583680152893,mem32_147M_2048_b64k_s30k,1.0,0.907734375,
12100,774387900,20.964191198349,mem32_147M_2048_b64k_s30k,1.0,0.907421875,
12150,777587850,21.01024055480957,mem32_147M_2048_b64k_s30k,1.0,0.911328125,
12200,780787800,20.93706464767456,mem32_147M_2048_b64k_s30k,1.0,0.90921875,
12250,783987750,20.99799680709839,mem32_147M_2048_b64k_s30k,1.0,0.9134375,
12300,787187700,20.94156837463379,mem32_147M_2048_b64k_s30k,1.0,0.918984375,
12350,790387650,20.943203687667847,mem32_147M_2048_b64k_s30k,1.0,0.922265625,
12400,793587600,20.866875886917114,mem32_147M_2048_b64k_s30k,1.0,0.90984375,
12450,796787550,20.89406728744507,mem32_147M_2048_b64k_s30k,1.0,0.902109375,
12500,799987500,16.30064368247986,mem32_147M_2048_b64k_s30k,1.0,,0.9009765625
12500,799987500,37.47537970542908,mem32_147M_2048_b64k_s30k,1.0,0.923359375,
12550,803187450,20.91576838493347,mem32_147M_2048_b64k_s30k,1.0,0.903125,
12600,806387400,20.887017250061035,mem32_147M_2048_b64k_s30k,1.0,0.908984375,
12650,809587350,20.901601791381836,mem32_147M_2048_b64k_s30k,1.0,0.900078125,
12700,812787300,20.966776132583618,mem32_147M_2048_b64k_s30k,1.0,0.900703125,
12750,815987250,20.841378450393677,mem32_147M_2048_b64k_s30k,1.0,0.9159375,
12800,819187200,20.949227809906006,mem32_147M_2048_b64k_s30k,1.0,0.89640625,
12850,822387150,20.860158681869507,mem32_147M_2048_b64k_s30k,1.0,0.902421875,
12900,825587100,20.91748332977295,mem32_147M_2048_b64k_s30k,1.0,0.9084375,
12950,828787050,20.91695475578308,mem32_147M_2048_b64k_s30k,1.0,0.906328125,
13000,831987000,16.248994827270508,mem32_147M_2048_b64k_s30k,1.0,,0.893984375
13000,831987000,37.40260457992554,mem32_147M_2048_b64k_s30k,1.0,0.906015625,
13050,835186950,20.95922350883484,mem32_147M_2048_b64k_s30k,1.0,0.907421875,
13100,838386900,20.892131805419922,mem32_147M_2048_b64k_s30k,1.0,0.887578125,
13150,841586850,20.912893295288086,mem32_147M_2048_b64k_s30k,1.0,0.90421875,
13200,844786800,20.893880605697632,mem32_147M_2048_b64k_s30k,1.0,0.90765625,
13250,847986750,20.92060899734497,mem32_147M_2048_b64k_s30k,1.0,0.917578125,
