step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity,grad_norm
1850,92498150,4.7929863929748535,smollm-135M-50k/baseline,8192,50000,1000000,0.9255,2.7145934104919434,,15.098469734191895,,0.36328125
1851,92548149,0.9872910976409912,smollm-135M-50k/baseline,8192,50000,1000000,0.926,2.7309303283691406,,15.347158432006836,,0.3515625
1852,92598148,1.0505354404449463,smollm-135M-50k/baseline,8192,50000,1000000,0.9265,2.7976858615875244,,16.406635284423828,,0.578125
1853,92648147,1.014500379562378,smollm-135M-50k/baseline,8192,50000,1000000,0.927,2.840724229812622,,17.12816619873047,,0.5234375
1854,92698146,0.9723541736602783,smollm-135M-50k/baseline,8192,50000,1000000,0.9275,2.849494695663452,,17.279048919677734,,0.34765625
1855,92748145,0.9602959156036377,smollm-135M-50k/baseline,8192,50000,1000000,0.928,2.79198956489563,,16.313444137573242,,0.34765625
1856,92798144,0.9517772197723389,smollm-135M-50k/baseline,8192,50000,1000000,0.9285,2.8200669288635254,,16.777973175048828,,0.3359375
1857,92848143,0.9665467739105225,smollm-135M-50k/baseline,8192,50000,1000000,0.929,2.8237781524658203,,16.840356826782227,,0.365234375
1858,92898142,1.0571262836456299,smollm-135M-50k/baseline,8192,50000,1000000,0.9295,2.8159310817718506,,16.708724975585938,,0.38671875
1859,92948141,1.170773983001709,smollm-135M-50k/baseline,8192,50000,1000000,0.93,2.649627923965454,,14.148773193359375,,0.443359375
1860,92998140,1.0797107219696045,smollm-135M-50k/baseline,8192,50000,1000000,0.9305,2.7940590381622314,,16.347238540649414,,0.388671875
1861,93048139,0.952866792678833,smollm-135M-50k/baseline,8192,50000,1000000,0.931,3.0604171752929688,,21.336456298828125,,0.3515625
1862,93098138,1.0236706733703613,smollm-135M-50k/baseline,8192,50000,1000000,0.9315,2.893702507019043,,18.0600528717041,,0.34765625
1863,93148137,1.0454061031341553,smollm-135M-50k/baseline,8192,50000,1000000,0.932,2.6085031032562256,,13.578709602355957,,0.37109375
1864,93198136,1.028409481048584,smollm-135M-50k/baseline,8192,50000,1000000,0.9325,2.64113187789917,,14.029073715209961,,0.369140625
1865,93248135,1.0119032859802246,smollm-135M-50k/baseline,8192,50000,1000000,0.933,2.8041000366210938,,16.512208938598633,,0.35546875
1866,93298134,0.9445977210998535,smollm-135M-50k/baseline,8192,50000,1000000,0.9335,2.8361499309539795,,17.04999542236328,,0.34375
1867,93348133,1.0338778495788574,smollm-135M-50k/baseline,8192,50000,1000000,0.934,2.6663143634796143,,14.386846542358398,,0.35546875
1868,93398132,1.0210065841674805,smollm-135M-50k/baseline,8192,50000,1000000,0.9345,2.6144533157348633,,13.659747123718262,,0.37109375
1869,93448131,1.0112578868865967,smollm-135M-50k/baseline,8192,50000,1000000,0.935,2.7103946208953857,,15.035207748413086,,0.333984375
1870,93498130,0.990363597869873,smollm-135M-50k/baseline,8192,50000,1000000,0.9355,2.7737021446228027,,16.017824172973633,,0.330078125
1871,93548129,0.9713170528411865,smollm-135M-50k/baseline,8192,50000,1000000,0.936,2.8675220012664795,,17.593368530273438,,0.34765625
1872,93598128,0.9570693969726562,smollm-135M-50k/baseline,8192,50000,1000000,0.9365,2.892648220062256,,18.04102325439453,,0.3359375
1873,93648127,0.9353961944580078,smollm-135M-50k/baseline,8192,50000,1000000,0.937,2.8585522174835205,,17.436264038085938,,0.333984375
1874,93698126,0.9348099231719971,smollm-135M-50k/baseline,8192,50000,1000000,0.9375,2.822751522064209,,16.823076248168945,,0.3515625
1875,93748125,0.9820969104766846,smollm-135M-50k/baseline,8192,50000,1000000,0.938,2.8084583282470703,,16.584331512451172,,0.349609375
1876,93798124,0.9671487808227539,smollm-135M-50k/baseline,8192,50000,1000000,0.9385,2.7671921253204346,,15.913887023925781,,0.35546875
1877,93848123,0.9763481616973877,smollm-135M-50k/baseline,8192,50000,1000000,0.939,2.8837013244628906,,17.88033103942871,,0.3671875
1878,93898122,0.9640846252441406,smollm-135M-50k/baseline,8192,50000,1000000,0.9395,2.8898658752441406,,17.990896224975586,,0.375
1879,93948121,1.0252556800842285,smollm-135M-50k/baseline,8192,50000,1000000,0.94,2.6919236183166504,,14.760041236877441,,0.4140625
1880,93998120,1.0614314079284668,smollm-135M-50k/baseline,8192,50000,1000000,0.9405,2.6554696559906006,,14.231668472290039,,0.41015625
1881,94048119,1.0112786293029785,smollm-135M-50k/baseline,8192,50000,1000000,0.941,2.771970748901367,,15.99011516571045,,0.361328125
